,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
11,Colusa,2018,52.74000000000001,9.269999999999998,406.6343490304709,12.259833795013858,103.2,21.8,61.29390581717449,100.0,8.0,63.85872576177285,47.93684210526319,5.0146814404432165,120.30443213296397,61.60110803324097
12,Colusa,2019,52.79000000000004,19.290000000000003,430.23512747875355,12.798866855524084,109.2,26.8,61.18583569405101,100.0,0.0,67.6798866855524,49.266855524079354,5.5878186968838515,134.06997167138823,62.32407932011334
13,Colusa,2020,46.42000000000001,1.6500000000000001,481.96062992125985,13.354724409448826,109.5,29.2,64.56929133858267,100.0,12.0,62.06299212598425,50.34015748031498,5.464173228346451,131.16653543307083,63.61456692913386
14,Contra Costa,2018,232.59000000000017,74.29000000000013,424.7156454491374,11.262998215347986,103.5,24.5,58.175371802498454,100.0,0.0,68.11183819155265,46.494348602022605,4.538726948245098,108.94164187983368,60.19214753123151
15,Contra Costa,2019,239.88999999999962,108.86000000000018,423.4190966266438,11.605831903945091,105.5,23.3,58.38662092624347,100.0,8.0,69.4865637507147,47.36335048599205,5.006003430531732,120.12064036592318,60.77175528873645
16,Contra Costa,2020,206.21999999999983,31.73,497.85102880658434,11.721399176954753,108.0,12.5,60.45637860082311,100.0,6.0,65.27242798353909,47.675473251028826,5.299835390946513,127.18502057613178,62.22436213991779
17,El Dorado,2018,113.58000000000004,59.43,447.8563458856346,8.339748953974896,100.0,20.0,59.94281729428174,100.0,5.0,49.53556485355649,38.49149232914922,4.421617852161782,106.09693165969314,58.964156206415645
18,El Dorado,2019,105.68000000000012,72.94,425.0056179775281,9.874297752808978,103.3,23.5,59.644522471910065,100.0,9.0,57.912921348314605,42.787499999999966,4.779213483146069,114.66558988764058,57.70126404494381
19,El Dorado,2020,80.21000000000002,32.7,479.1480686695279,9.936695278969951,113.9,28.7,62.07532188841202,100.0,6.0,54.371244635193136,43.18175965665239,4.462660944206008,107.11652360515022,59.61502145922744
20,Fresno,2018,484.2999999999995,58.330000000000005,459.4931746587329,10.396009800490022,106.7,22.7,63.64784739236967,100.0,0.0,53.16135806790339,44.4140357017851,4.296394819741001,103.1155407770389,64.42849142457133
21,Fresno,2019,465.42999999999955,77.31000000000003,464.2555034283652,10.797149043666558,108.7,22.8,63.23367015517857,100.0,1.0,55.79971129556117,45.394117647058785,4.5240346445326685,108.58087333092756,64.73922771562614
22,Fresno,2020,377.2300000000009,31.659999999999975,522.5784823284823,11.409355509355503,112.8,21.8,66.54106029106033,100.0,0.0,52.9054054054054,46.96003118503124,4.598336798336798,110.3597713097711,67.7939708939708
23,Humboldt,2019,12.209999999999983,12.069999999999997,314.3943661971831,12.729577464788736,78.2,29.6,53.592253521126736,100.0,36.0,88.7605633802817,50.28169014084508,5.2098591549295765,124.9661971830986,58.56971830985916
24,Humboldt,2020,28.55000000000002,16.24,414.4828897338403,12.501140684410641,78.2,29.2,52.410266159695766,100.0,49.0,91.24809160305344,49.84961832061065,5.41749049429658,129.99429657794684,58.76197718631177
25,Imperial,2018,348.3600000000001,6.629999999999997,475.1744251261918,12.658160403813786,119.0,21.0,72.84083006169385,100.0,0.0,43.81716208637128,47.9605720695457,4.6585530005608495,111.8097027481773,68.99119461581606
26,Imperial,2019,306.8100000000004,9.679999999999986,491.6514247846256,11.623591782637508,118.9,21.0,71.0425447316104,100.0,0.0,44.20477137176938,45.559244532803234,5.244996686547391,125.86335321404907,67.48011928429422
27,Imperial,2020,231.89000000000027,8.809999999999999,562.5283400809717,12.592611336032402,123.2,27.8,76.55759109311745,100.0,6.0,40.213562753036435,48.66356275303648,4.617004048582996,110.82864372469639,70.84838056680165
28,Inyo,2018,59.010000000000005,2.7800000000000002,480.064606741573,6.2561797752808985,104.7,9.6,56.6609550561798,100.0,3.0,36.70786516853933,29.234550561797757,3.3626404494382025,80.65786516853935,58.27752808988766
29,Inyo,2019,59.68000000000008,6.839999999999996,468.2369791666667,6.12473958333333,99.0,8.7,54.60130208333334,100.0,0.0,39.872395833333336,25.773177083333362,3.1812499999999964,76.37187499999989,55.92317708333329
30,Inyo,2020,51.42000000000003,1.3100000000000003,539.7913669064748,6.424820143884892,101.7,9.6,60.31978417266189,99.0,4.0,34.28776978417266,30.90287769784172,3.6694244604316566,88.12410071942445,57.97050359712229
31,Kern,2018,235.7900000000011,20.569999999999986,450.75719298245616,10.556350877192983,106.2,20.0,63.17740350877185,100.0,4.0,53.57333333333333,44.4267368421053,4.144701754385968,99.48049122807022,65.66687719298258
32,Kern,2019,296.7600000000003,64.23000000000002,479.12663495838285,10.219916765755046,108.8,19.0,64.10856123662315,100.0,3.0,51.12068965517241,43.391200951248486,4.442925089179555,106.62039239001196,66.40677764565984
33,Kern,2020,259.83000000000067,27.599999999999977,525.2734314484895,10.50333075135555,115.1,20.7,66.99054996127025,100.0,0.0,48.553059643687064,44.25050348567,4.51006971340046,108.22029434546874,68.96328427575527
34,Kings,2018,63.59999999999995,3.3799999999999994,453.1022099447514,10.674861878453042,105.2,25.8,64.41325966850826,100.0,0.0,53.5939226519337,45.23066298342544,5.008839779005521,120.2480662983425,64.29502762430943
35,Kings,2019,59.34,9.789999999999997,416.14246575342463,11.111506849315068,106.3,25.3,63.924657534246606,100.0,9.0,56.64931506849315,46.34876712328765,5.026575342465746,120.63287671232877,64.60712328767124
36,Kings,2020,49.16999999999996,2.979999999999999,523.0325203252032,12.001626016260163,110.3,25.8,66.8630081300813,100.0,0.0,54.113821138211385,47.97439024390246,5.098373983739835,122.36626016260166,65.18373983739835
37,Los Angeles,2018,633.7699999999984,101.31000000000004,467.3876404494382,11.00730337078654,113.9,15.7,63.84272216547512,100.0,0.0,53.07124616956077,44.40209397344221,3.9528855975485198,94.84083248212438,64.69908069458626
38,Los Angeles,2019,553.7700000000013,196.67999999999992,454.3899560922064,11.335647639956079,119.8,12.5,62.013611416026386,100.0,2.0,59.339462129527995,45.58479692645445,4.074972557628975,97.78998353457746,62.88644346871567
39,Los Angeles,2020,490.4900000000004,58.51000000000002,515.501320256507,11.967936627687656,121.2,16.0,66.0809128630706,100.0,1.0,55.49830252734817,47.50380988306298,4.184194643530731,100.41972840437569,64.98012070916658
40,Marin,2018,96.11999999999999,28.94999999999999,422.8269230769231,11.442719780219802,99.0,22.7,56.18420329670329,99.0,10.0,73.32417582417582,47.37046703296701,4.172115384615388,100.14189560439554,62.16950549450549
41,Marin,2019,94.69999999999985,79.19000000000007,429.27437325905294,11.818802228412261,98.3,22.9,56.69693593314757,100.0,11.0,74.26462395543176,48.11727019498608,4.493454038997212,107.81420612813372,60.385097493036305
42,Marin,2020,77.97000000000004,6.239999999999998,500.5101214574899,11.87307692307692,104.9,28.0,57.450202429149726,100.0,14.0,72.78137651821862,48.368218623481795,4.454251012145751,106.93481781376524,62.00445344129559
43,Mendocino,2018,25.370000000000022,4.590000000000001,512.9251700680272,10.941496598639446,105.3,20.6,58.112925170068,100.0,13.0,66.48979591836735,46.10544217687079,3.890476190476194,93.45782312925174,58.57619047619047
44,Mendocino,2019,40.04000000000004,12.489999999999998,462.2350597609562,11.534661354581665,105.7,21.3,60.410358565737035,97.0,9.0,63.254980079681275,47.16932270916331,3.6924302788844603,88.63904382470125,61.745019920318725
45,Mendocino,2020,46.73000000000001,7.859999999999992,454.0313588850174,11.464808362369336,112.9,23.2,60.939372822299596,97.0,13.0,62.44250871080139,47.27003484320562,3.6790940766550517,88.35156794425083,60.51533101045294
46,Merced,2018,112.13000000000001,18.229999999999997,439.55354659248957,11.346036161335185,103.2,18.6,60.73699582753829,100.0,11.0,63.04311543810849,46.95424200278172,4.4095966620306,105.833240611961,60.360917941585484
47,Merced,2019,108.45999999999992,27.220000000000006,439.4726507713885,11.5765778401122,104.8,22.9,60.41122019635339,100.0,14.0,64.57363253856943,47.47755960729312,4.600701262272093,110.42173913043476,61.62917251051892
48,Merced,2020,80.89000000000001,7.840000000000001,488.07234042553193,12.120425531914895,105.7,23.0,62.69042553191494,100.0,14.0,62.714893617021275,48.74659574468083,4.824680851063832,115.79744680851064,60.70361702127653
49,Modoc,2018,47.480000000000054,12.699999999999992,415.82093663911843,6.769146005509637,98.5,-4.3,47.17134986225898,99.0,5.0,59.88154269972452,32.86666666666669,4.685674931129477,112.42727272727264,51.021212121212166
50,Modoc,2019,47.18000000000005,12.419999999999991,423.34615384615387,6.922252747252743,90.9,-2.2,46.45000000000001,99.0,7.0,62.62637362637363,33.37857142857143,4.943956043956044,118.64917582417593,50.58269230769228
51,Modoc,2020,43.670000000000016,5.939999999999998,499.77272727272725,6.903030303030307,99.5,3.5,51.03636363636363,99.0,5.0,54.21969696969697,33.56249999999999,4.981060606060605,119.56136363636358,52.94204545454548
52,Monterey,2018,379.77999999999986,106.38000000000005,420.38654583478564,12.048065528058563,108.7,25.1,56.746671314046964,100.0,7.0,75.72708260718021,48.76660857441624,4.8794353433251985,117.11324503311255,61.003067270826136
53,Monterey,2019,362.5299999999997,152.58000000000007,418.58410548823946,12.151104775481107,103.9,24.5,56.57747683535292,100.0,0.0,76.77940128296507,48.93820384889527,4.903385602280834,117.66803278688543,61.132893799002126
54,Monterey,2020,321.12000000000126,59.19999999999998,459.553730017762,13.002708703374775,109.5,23.8,57.79933392539975,100.0,0.0,78.57504440497335,50.89547069271759,4.633037300177614,111.17628774422744,62.73388099467154
55,Napa,2018,89.41000000000014,25.469999999999995,393.8344827586207,11.746758620689658,102.6,22.2,56.595586206896506,100.0,9.0,74.22344827586207,47.81641379310344,3.036000000000002,72.85737931034485,59.91006896551732
56,Napa,2019,83.50999999999989,61.02000000000002,425.78516228748066,12.066924265842342,102.5,25.8,56.46429675425039,100.0,8.0,76.39721792890263,48.28114374034005,3.3975270479134445,81.52519319938176,58.36924265842359
57,Napa,2020,80.93999999999994,8.569999999999995,492.44834307992204,12.416959064327479,103.8,27.6,58.69766081871348,100.0,9.0,73.11695906432749,49.386354775828394,3.534502923976609,84.83469785575046,61.247368421052634
58,Orange,2018,155.26999999999978,28.239999999999977,456.038715769594,12.535694050991495,100.0,28.0,62.632955618508014,100.0,0.0,62.6109537299339,48.434277620396635,3.5817752596789445,85.95231350330498,64.1788479697828
59,Orange,2019,149.1399999999997,71.49000000000005,450.05234159779616,13.082552800734618,97.3,30.9,60.985766758494,100.0,3.0,70.12947658402204,49.9711662075299,3.6497704315886152,87.56483011937559,63.94839302112028
60,Orange,2020,122.69999999999993,32.77000000000004,508.4721141374838,13.826459143968872,107.9,31.9,62.81115434500651,100.0,4.0,70.08344198174707,51.87614080834421,3.6765239948119346,88.32127107652393,65.86692607003897
61,Placer,2018,51.82000000000004,23.449999999999992,382.0138888888889,10.000555555555549,103.7,27.2,62.48027777777778,100.0,7.0,54.236111111111114,43.46833333333337,3.3316666666666657,79.91277777777776,63.96944444444446
62,Placer,2019,50.83999999999996,38.35000000000001,402.1735537190083,10.72782369146006,103.1,28.2,61.747382920110184,100.0,8.0,58.37190082644628,45.27134986225893,3.355647382920112,80.55289256198357,65.80303030303031
63,Placer,2020,46.42,13.079999999999995,491.57414448669203,10.908365019011406,108.1,28.3,64.96844106463875,100.0,8.0,53.72243346007605,45.972623574144514,3.2342205323193904,77.63041825095061,66.36387832699619
64,Riverside,2018,700.2300000000005,52.370000000000026,475.0674960296453,11.685044997353126,118.8,22.9,68.96617257808357,100.0,4.0,47.525674960296456,46.176310217046215,4.453573319216509,106.87977766013749,66.49391212281623
65,Riverside,2019,672.1299999999958,98.83000000000018,473.76168848517233,11.150333956719233,123.7,23.4,67.20595778787079,100.0,0.0,50.044883783061714,45.43465134918488,4.407507347047826,105.77656959658042,64.94288004274647
66,Riverside,2020,504.5099999999993,51.609999999999985,523.9291465378421,11.99057971014491,122.6,20.7,70.25374396135277,100.0,4.0,48.7914653784219,47.680233494364025,4.313768115942035,103.53421900161013,66.88845377472771
67,Sacramento,2018,143.5600000000002,60.94999999999997,427.3164948453608,11.108041237113392,105.7,24.8,59.8430927835051,100.0,0.0,63.94536082474227,46.37762886597939,4.9546391752577295,118.91814432989689,61.8192783505155
68,Sacramento,2019,157.44000000000008,58.91000000000003,423.20899718837865,11.52296157450797,106.4,26.2,60.4569821930647,100.0,9.0,64.79662605435801,47.38219306466723,5.219306466729155,125.24339268978453,61.18772258669156
69,Sacramento,2020,143.32999999999998,19.879999999999974,500.625641025641,11.654487179487175,110.4,27.0,63.39371794871798,100.0,8.0,59.69615384615385,47.84089743589742,5.6196153846153845,134.87589743589734,63.08333333333334
70,San Benito,2018,105.21000000000002,26.080000000000016,454.00689655172414,11.25241379310344,99.2,23.1,57.57682758620688,100.0,9.0,68.79724137931035,46.884275862068975,3.7609655172413783,90.2318620689655,62.59434482758621
71,San Benito,2019,98.57000000000004,33.71999999999999,436.05307262569835,11.273463687150846,104.1,24.9,57.15754189944136,99.0,8.0,70.00418994413408,46.820949720670356,3.6893854748603365,88.5198324022346,60.13603351955296
