,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
1408,Caples Fire,El Dorado,9,38.72,-120.14,2019-10-11 12:47:59+00:00,2019,3435,FALSE,FALSE
1475,Doyle Fire,Lassen,18,40.07,-120.16,2019-07-14 14:02:31+00:00,2019,193,FALSE,FALSE
333,Big Creek Fire,Tuolumne,55,37.82,-120.16,2015-07-29 16:30:00+00:00,2015,204,TRUE,TRUE
1023,Dexter Fire,Mariposa,22,37.77,-120.16,2017-09-20 14:53:00+00:00,2017,10,TRUE,FALSE
1316,French Fire,Plumas,32,39.89,-120.18,2018-04-26 15:00:00+00:00,2018,20,FALSE,FALSE
1371,Gaines Fire,Mariposa,22,37.54,-120.18,2019-08-16 14:11:02+00:00,2019,1300,TRUE,FALSE
1550,Ranch Fire,San Luis Obispo,40,35.19,-120.18,2019-10-01 22:35:52+00:00,2019,52,FALSE,FALSE
1243,Happy Fire,Santa Barbara,42,34.74,-120.18,2018-05-17 12:53:00+00:00,2018,60,TRUE,FALSE
1209,Horn Fire,Lassen,18,40.83,-120.19,2018-11-08 11:25:00+00:00,2018,88,FALSE,FALSE
378,Pass Fire,Kern,15,35.78,-120.19,2015-06-15 15:46:00+00:00,2015,67,TRUE,FALSE
1474,McMurray Fire,Santa Barbara,42,34.63,-120.19,2019-09-09 17:42:43+00:00,2019,200,FALSE,FALSE
1443,Real Fire,Santa Barbara,42,34.48,-120.19,2019-10-17 16:31:00+00:00,2019,420,FALSE,FALSE
225,Haigh Fire,Mariposa,22,37.71,-120.2,2014-06-10 15:11:00+00:00,2014,130,TRUE,TRUE
1193,Wheeler Fire,Mariposa,22,37.71,-120.2,2018-06-18 12:30:00+00:00,2018,115,TRUE,TRUE
626,Garza Fire,Kings,16,35.93,-120.2,2017-07-09 15:10:00+00:00,2017,48889,TRUE,TRUE
620,Detwiler Fire,Mariposa,22,37.62,-120.21,2017-07-16 15:56:00+00:00,2017,81826,TRUE,TRUE
1442,Hunter Fire,Mariposa,22,37.53,-120.21,2019-08-15 15:15:56+00:00,2019,423,TRUE,FALSE
