"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"CALAVERAS","Total","     330.559070","     332.353511","     347.931437","     316.143601","     311.620104","     319.671411","     326.656878","     326.618868","     326.183731","     315.971036","     324.336407","     319.930623","     322.116150","     318.236820","     307.828104","     288.331365","     272.021452","     272.713127","     255.358487","     255.426547","     250.684811","     243.544406","     233.957679","     223.123873","     213.730829","     232.842757","     247.213700","     247.354237","     251.603627","     243.949460","    8578.014108"
"COLUSA","Non-Residential","     217.852047","     232.008950","     224.493531","     232.370081","     242.069652","     239.585285","     233.400276","     214.309143","     206.510720","     192.691345","     199.598690","     192.618557","     186.301900","     183.224933","     184.719636","     175.423030","     163.501641","     198.647619","     196.950031","     184.207127","     187.789259","     150.243733","     160.209239","     151.239858","     144.016009","     154.017770","     145.180261","     145.705115","     143.530792","     145.044750","    5627.460980"
"COLUSA","Residential","      67.633093","      65.118218","      68.094527","      64.507307","      64.133314","      64.722845","      64.770037","      65.641094","      64.365759","      63.400659","      65.571365","      64.229595","      64.174329","      64.984232","      63.463197","      59.630395","      58.221056","      54.712737","      53.398152","      56.692548","      54.987594","      54.668412","      54.037338","      53.461666","      50.557113","      50.078667","      49.733609","      50.535778","      50.731018","      50.598114","    1776.853768"
"COLUSA","Total","     285.485140","     297.127168","     292.588058","     296.877388","     306.202966","     304.308130","     298.170313","     279.950237","     270.876479","     256.092004","     265.170055","     256.848151","     250.476229","     248.209165","     248.182833","     235.053425","     221.722696","     253.360356","     250.348184","     240.899676","     242.776854","     204.912146","     214.246577","     204.701523","     194.573122","     204.096438","     194.913870","     196.240893","     194.261811","     195.642863","    7404.314750"
"CONTRA COSTA","Non-Residential","    6705.267486","    6456.329245","    6804.169636","    6837.751890","    6737.327255","    6856.876468","    6368.628410","    6335.123617","    6352.323557","    6382.065189","    6304.853742","    6566.333982","    5853.882903","    5928.162419","    5781.717451","    5828.484011","    5646.090068","    5497.665400","    5858.828804","    5988.866659","    6518.599241","    6229.412651","    6968.672260","    6749.591512","    6842.673431","    6770.902899","    6652.654960","    6307.700378","    6347.458597","    6522.209090","  191000.623211"
"CONTRA COSTA","Residential","    2934.141948","    2802.510934","    2885.719383","    2752.033880","    2730.006314","    2731.309642","    2765.959761","    2767.558456","    2750.847487","    2733.437190","    2787.816964","    2785.188571","    2738.380846","    2745.204011","    2661.732269","    2649.689498","    2539.933261","    2484.671228","    2371.221596","    2636.955361","    2494.716628","    2447.728133","    2341.159681","    2316.045847","    2177.154476","    2137.669934","    2167.951542","    2094.083360","    2073.815256","    2074.798616","   76579.442073"
"CONTRA COSTA","Total","    9639.409434","    9258.840179","    9689.889020","    9589.785769","    9467.333569","    9588.186110","    9134.588171","    9102.682073","    9103.171044","    9115.502379","    9092.670707","    9351.522553","    8592.263749","    8673.366430","    8443.449719","    8478.173509","    8186.023329","    7982.336628","    8230.050400","    8625.822020","    9013.315869","    8677.140784","    9309.831941","    9065.637359","    9019.827907","    8908.572833","    8820.606502","    8401.783739","    8421.273853","    8597.007706","  267580.065285"
"DEL NORTE","Non-Residential","      93.092692","      92.805494","      94.153699","      92.362672","      95.752235","      93.307921","      99.444234","     100.004484","     105.835595","     108.208779","     108.411081","     113.254197","     121.662221","     108.669652","     106.892357","     112.771936","      98.687201","     100.219477","     105.214511","     122.873881","     109.232731","     107.553034","     105.919114","     107.879753","     102.987081","     103.611343","     105.320957","     105.410068","     106.598321","     101.667808","    3129.804529"
"DEL NORTE","Residential","     117.160978","     114.221353","     122.777146","     112.339303","     116.131782","     110.109643","     126.533004","     127.752553","     132.186078","     133.518388","     132.958141","     136.508596","     133.579670","     127.833022","     122.831577","     121.909010","     121.608702","     117.067626","     114.904332","     113.613677","     112.136921","     110.065812","     107.696817","     139.830574","     106.566610","     110.776041","     116.229421","     106.383258","     104.812778","      90.982237","    3561.025050"
"DEL NORTE","Total","     210.253670","     207.026847","     216.930845","     204.701976","     211.884017","     203.417564","     225.977238","     227.757037","     238.021672","     241.727167","     241.369222","     249.762793","     255.241891","     236.502674","     229.723934","     234.680946","     220.295903","     217.287103","     220.118843","     236.487557","     221.369652","     217.618846","     213.615931","     247.710327","     209.553691","     214.387384","     221.550379","     211.793326","     211.411099","     192.650044","    6690.829578"
