,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
54,Madera,2016,492.14000000000004,83.72000000000001,442.55122950819674,10.415027322404375,109.9,23.9,64.09067622950799,100.0,0.0,54.42950481430537,44.95381705639607,4.422096994535517,65.11360568383652
55,Madera,2017,486.0099999999991,74.32999999999997,428.9989708404803,10.400205831903946,114.8,19.3,63.94404802744429,100.0,6.0,52.687133494308384,44.34936184891343,4.642469982847339,65.22088339222604
56,Madera,2018,484.2999999999995,58.330000000000005,459.4931746587329,10.396009800490022,106.7,22.7,63.64784739236967,100.0,0.0,53.16135806790339,44.4140357017851,4.296394819741001,64.42849142457133
57,Madera,2019,465.42999999999955,77.31000000000003,464.2555034283652,10.797149043666558,108.7,22.8,63.23367015517857,100.0,1.0,55.79971129556117,45.394117647058785,4.5240346445326685,64.73922771562614
58,Madera,2020,377.2300000000009,31.659999999999975,522.5784823284823,11.409355509355503,112.8,21.8,66.54106029106033,100.0,0.0,52.9054054054054,46.96003118503124,4.598336798336798,67.7939708939708
59,Del Norte,2019,12.209999999999983,12.069999999999997,314.3943661971831,12.729577464788736,78.2,29.6,53.592253521126736,100.0,36.0,88.7605633802817,50.28169014084508,5.2098591549295765,58.56971830985916
60,Del Norte,2020,28.55000000000002,16.24,414.4828897338403,12.501140684410641,78.2,29.2,52.410266159695766,100.0,49.0,91.24809160305344,49.84961832061065,5.41749049429658,58.76197718631177
117,Mariposa,2013,118.82000000000008,44.83,454.06280193236717,10.074095238095243,107.3,13.7,59.92180952380953,100.0,6.0,56.64380952380952,43.34247619047616,4.764,63.372545281220226
118,Mariposa,2014,119.65000000000003,22.590000000000003,437.4097158570119,10.55288725939505,106.4,20.7,62.67442713107241,100.0,5.0,55.942254812098994,45.13033913840516,4.674382433668801,65.50678776290633
119,Mariposa,2015,109.3800000000001,26.15000000000002,428.65625,10.413431462741476,106.3,19.3,61.508003679852806,100.0,8.0,58.0,44.82677746999078,3.857904411764707,65.09372659176029
120,Mariposa,2016,114.51999999999994,38.730000000000004,435.44197292069634,10.947292069632512,106.7,20.4,61.670212765957466,100.0,7.0,60.72594752186589,46.368513119533425,4.497678916827851,65.62865440464675
121,Mariposa,2017,112.47999999999996,31.540000000000006,435.70512820512823,11.251559633027524,108.9,19.0,61.5333643122676,100.0,6.0,61.08075117370892,46.62638497652582,4.506868131868137,64.14316279069772
122,Mariposa,2018,112.13000000000001,18.229999999999997,439.55354659248957,11.346036161335185,103.2,18.6,60.73699582753829,100.0,11.0,63.04311543810849,46.95424200278172,4.4095966620306,60.360917941585484
123,Mariposa,2019,108.45999999999992,27.220000000000006,439.4726507713885,11.5765778401122,104.8,22.9,60.41122019635339,100.0,14.0,64.57363253856943,47.47755960729312,4.600701262272093,61.62917251051892
124,Mariposa,2020,80.89000000000001,7.840000000000001,488.07234042553193,12.120425531914892,105.7,23.0,62.69042553191494,100.0,14.0,62.714893617021275,48.74659574468083,4.824680851063832,60.70361702127653
157,Sierra,2013,56.37999999999996,5.700000000000001,429.4340659340659,9.8423076923077,106.6,26.4,62.42609890109892,100.0,10.0,50.901685393258425,42.3699438202247,3.4634615384615386,62.84835164835167
158,Sierra,2014,54.40000000000001,34.29,405.9397260273973,10.480821917808223,106.5,25.9,64.71643835616443,100.0,8.0,52.73278236914601,44.84462809917357,3.0978082191780847,64.33765432098755
159,Sierra,2015,55.15,15.489999999999997,413.85753424657537,10.233698630136978,105.6,27.8,63.70383561643833,100.0,8.0,53.31129476584022,44.23884297520658,3.112054794520549,64.72096317280455
160,Sierra,2016,52.92000000000004,37.26999999999999,394.6986301369863,10.484972677595634,105.8,30.7,63.1508196721312,100.0,8.0,56.964285714285715,45.24642857142858,3.115300546448086,63.725956284152964
161,Sierra,2017,49.37999999999995,43.19000000000002,361.0383561643836,10.722465753424661,108.0,29.9,63.26000000000001,100.0,9.0,56.229050279329606,45.08100558659218,2.6287671232876706,65.22066115702478
162,Sierra,2018,51.82000000000004,23.449999999999992,382.0138888888889,10.000555555555549,103.7,27.2,62.48027777777778,100.0,7.0,54.236111111111114,43.46833333333337,3.3316666666666657,63.96944444444446
163,Sierra,2019,50.83999999999996,38.35000000000001,402.1735537190083,10.72782369146006,103.1,28.2,61.747382920110184,100.0,8.0,58.37190082644628,45.27134986225893,3.355647382920112,65.80303030303031
164,Sierra,2020,46.42,13.079999999999995,491.57414448669203,10.908365019011406,108.1,28.3,64.96844106463875,100.0,8.0,53.72243346007605,45.972623574144514,3.2342205323193904,66.36387832699619
205,Calaveras,2013,56.74999999999996,3.7600000000000002,459.239010989011,11.231043956043955,103.8,21.2,59.57197802197799,100.0,16.0,62.77197802197802,46.18956043956045,4.4087912087912065,60.72829670329675
206,Calaveras,2014,54.090000000000025,13.619999999999997,432.70054945054943,12.462087912087897,102.1,25.6,61.94368131868135,100.0,15.0,65.82417582417582,49.532967032966994,4.229945054945057,62.612912087912086
207,Calaveras,2015,57.410000000000025,8.749999999999998,400.84123222748815,11.956398104265409,103.1,22.4,59.1473933649289,100.0,15.0,69.3040380047506,48.21995249406173,4.413270142180096,61.48151658767771
208,Calaveras,2016,163.15000000000018,50.54,440.7598130841121,13.034828244274825,104.9,23.9,62.042429906542026,100.0,2.0,69.74376199616123,51.000000000000014,4.5938095238095205,62.252335557673895
209,Calaveras,2017,220.03000000000063,63.52000000000001,433.4948096885813,12.284290657439431,108.9,24.6,61.27986159169543,100.0,0.0,67.2084241103849,49.338852578068185,4.830795847750865,61.642222222222166
210,Calaveras,2018,207.0100000000003,43.26000000000002,438.008064516129,12.047800586510238,113.1,23.6,60.280351906158415,100.0,0.0,67.05351906158357,47.83453079178885,4.702785923753664,60.420821114369424
211,Calaveras,2019,211.07000000000016,59.89000000000002,439.95762711864404,12.281355932203375,104.7,23.8,60.18128531073453,100.0,0.0,68.79237288135593,49.03170903954805,4.930014124293791,60.783686440678046
212,Calaveras,2020,224.7599999999999,20.539999999999992,517.03664495114,12.763762214983707,108.6,27.3,63.35570032573291,100.0,12.0,64.3957654723127,50.19486970684036,4.666693811074915,63.24511400651469
