County,Year,Name,County IDs,Latitude,Longitude,Started,Acres Burned,Cal Fire Incident,Major Incident,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F),MWh,Ocean Proximity,Population,Households,Average Income,Average House Value
Modoc,2013,Fox Fire (formally 3-7 Fire),25,41.24,-121.03,2013-07-03 22:56:00+00:00,502,t,f,48.360000000000056,5.1199999999999966,417.8448753462604,6.095027624309385,101.3,-15,45.10718232044198,100,10,58.052486187845304,29.712154696132593,4.750552486187845,50.0675141242938,169.1,INLAND,9678,3711,22668,51162
San Luis Obispo,2013,Branch Fire,40,35.16,-120.05,2013-06-01 17:27:00+00:00,500,f,f,198.5400000000001,17.189999999999923,439.33539518900346,10.616379903647628,101,20,55.40515463917529,100,-12,67.42366946778712,43.98984593837537,3.5991065292096143,60.379393521709154,1765.19,<1H OCEAN,215857,79734,32509,217929
Contra Costa,2013,Kirker Fire,7,37.97,-121.91,2013-07-01 13:19:00+00:00,492,t,f,166.59999999999977,14.499999999999991,440.18694885361555,10.257495590828924,105.5,18.5,57.75176366843032,100,0,61.529982363315696,43.74074074074069,4.273192239858905,59.34102564102567,9134.59,<1H OCEAN,805315,301861,50644,233896
Madera,2013,Rolling Fire,20,37.02,-119.78,2013-06-16 18:17:00+00:00,482,t,t,504.3999999999992,23.589999999999982,459.08089500860586,10.266792842395057,109.1,13.9,62.67023399862347,100,6,53.01776384535005,43.453187042842075,4.598176187198896,62.66254733218598,1577.58,INLAND,90967,29446,28228,89203
San Bernardino,2013,Gobblers Fire,36,34.3,-117.6,2013-08-20 13:32:00+00:00,413,f,f,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
Inyo,2013,River Fire,14,36.6,-118.02,2013-02-24 08:16:00+00:00,406,t,t,61.22000000000005,3.739999999999998,480.2518315018315,5.524495412844044,110.1,1.7,58.40091575091577,100,0,32.9196675900277,27.056232686980614,6.208882783882777,56.91650692225777,233.12,INLAND,18281,7565,25159,100794
Napa,2013,Putah Fire,28,38.63,-122.29,2013-10-03 20:33:00+00:00,376,t,t,102.21000000000008,9.519999999999998,424.5508241758242,10.633104395604398,103.7,17.6,56.36634615384619,98,0,66.99035812672176,44.68209366391184,3.6024725274725324,58.91208791208789,1051.54,<1H OCEAN,108030,41264,39798,210965
San Benito,2013,Tres Pinos Fire,35,37.16,-120.94,2013-05-03 11:42:00+00:00,354,t,f,99.15000000000003,13.459999999999965,432.58758620689656,10.184000000000003,100.9,20,56.2289655172413,100,0,64.09423347398031,42.90281293952181,2.718896551724139,60.44848066298338,357.55,<1H OCEAN,36697,11422,35586,218650
Riverside,2013,Jurupa Fire,33,33.95,-117.4,2013-02-28 16:43:00+00:00,311,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
Butte,2013,Summit Fire,4,39.44,-121.5,2013-10-04 17:37:00+00:00,305,t,t,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100,0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635,1502.98,INLAND,182120,71665,23777,90108
San Joaquin,2013,Shelton Fire,39,38.05,-120.9,2013-05-30 11:20:00+00:00,303,t,f,56.74999999999996,3.7600000000000002,459.239010989011,11.231043956043955,103.8,21.2,59.57197802197799,100,16,62.77197802197802,46.18956043956045,4.4087912087912065,60.72829670329675,5524.57,INLAND,477524,157688,32845,130474
Butte,2013,Lone Fire,4,39.43,-121.58,2013-06-03 13:49:00+00:00,298,t,t,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100,0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635,1502.98,INLAND,182120,71665,23777,90108
Contra Costa,2013,Concord Fire,7,39.9,-121.74,2013-07-01 15:41:00+00:00,274,t,f,166.59999999999977,14.499999999999991,440.18694885361555,10.257495590828924,105.5,18.5,57.75176366843032,100,0,61.529982363315696,43.74074074074069,4.273192239858905,59.34102564102567,9134.59,<1H OCEAN,805315,301861,50644,233896
