Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
Coyote Fire,Lassen,18,40.89,-120.96,2013-08-09 15:51:00+00:00,2013,97,True,False
Roadrunner Fire,Amador,3,38.28,-120.97,2013-06-12 16:43:00+00:00,2013,96,True,False
Creek Fire,San Luis Obispo,40,35.44,-120.84,2013-09-24 03:20:00+00:00,2013,94,True,False
Branch Fire,Butte,4,39.66,-121.5,2013-08-01 16:01:00+00:00,2013,92,True,True
Lilly 2 Fire,Madera,20,37.19,-119.79,2013-05-19 15:07:00+00:00,2013,91,True,True
Water Fire,Riverside,33,33.96,-116.65,2013-05-21 14:16:00+00:00,2013,90,True,False
Adelaida Fire,San Luis Obispo,40,35.63,-120.83,2013-07-07 13:16:00+00:00,2013,85,True,False
Retek Fire,Mendocino,23,39.04,-123.15,2013-11-22 10:06:00+00:00,2013,82,True,False
Centerville Fire,Butte,4,39.73,-121.71,2013-08-31 17:23:00+00:00,2013,80,True,True
Butte Fire,Fresno,10,36.99,-119.23,2013-04-09 12:35:00+00:00,2013,80,True,False
Tehama Fire,Tehama,52,40.1,-122.17,2013-09-15 17:39:00+00:00,2013,75,True,False
Silverwood Fire,San Bernardino,36,34.32,-117.35,2013-07-25 15:09:00+00:00,2013,75,True,False
Revis Fire,Madera,20,37.17,-119.76,2013-06-12 16:40:00+00:00,2013,75,True,True
Lytle Fire,San Bernardino,36,34.18,-117.44,2013-05-13 13:30:00+00:00,2013,75,True,True
Silverado Fire,Napa,28,38.44,-122.35,2013-04-30 23:44:00+00:00,2013,75,True,False
Liveoak Fire,San Bernardino,36,34.0,-117.11,2013-09-11 16:57:00+00:00,2013,73,True,False
McGanney Fire,Yuba,58,39.21,-121.32,2013-07-08 09:59:00+00:00,2013,73,True,False
Cedar Fire,Butte,4,39.63,-121.54,2013-05-01 04:16:00+00:00,2013,72,True,True
Double Fire,Lake,17,39.01,-122.49,2013-08-16 17:57:00+00:00,2013,70,True,True
Rail Fire,Modoc,25,41.57,-120.96,2013-09-07 17:30:00+00:00,2013,68,False,False
Wheeler Fire,Ventura,56,34.38,-119.13,2013-11-14 11:05:00+00:00,2013,64,True,False
Tram Fire,Riverside,33,33.95,-116.61,2013-08-06 13:39:00+00:00,2013,60,False,False
Relay Fire,Riverside,33,33.91,-117.0,2013-08-04 16:29:00+00:00,2013,60,True,False
Tyler Fire,Nevada,29,39.33,-121.11,2013-08-31 14:42:00+00:00,2013,52,True,False
Toro Fire,San Luis Obispo,40,35.46,-120.75,2013-11-08 10:30:00+00:00,2013,51,True,True
Bruner Fire,Lake,17,39.04,-122.77,2013-11-23 12:04:00+00:00,2013,50,True,False
Cottonwood Fire,Siskiyou,47,41.92,-122.58,2013-08-15 14:40:00+00:00,2013,50,True,False
Uvas Fire,Santa Clara,43,37.14,-121.78,2013-07-12 13:09:00+00:00,2013,50,True,False
Grant Fire,Alameda,1,37.74,-121.59,2013-07-04 10:00:00+00:00,2013,50,True,False
Homestead Fire,San Luis Obispo,40,35.51,-120.64,2013-05-25 17:35:00+00:00,2013,50,True,False
Bridges Fire,Calaveras,5,38.06,-120.45,2013-08-17 10:11:00+00:00,2013,46,True,True
Sierra Fire,Fresno,10,37.03,-119.46,2013-06-17 14:41:00+00:00,2013,46,True,False
Pratt Fire,Mendocino,23,38.98,-123.07,2013-07-23 13:29:00+00:00,2013,45,True,False
Happy Camp Fire,Ventura,56,34.37,-119.14,2013-12-10 02:26:00+00:00,2013,44,False,False
Fiddler Fire,Shasta,45,40.37,-122.73,2013-07-09 11:59:00+00:00,2013,43,True,False
Viper Fire,Riverside,33,33.97,-117.13,2013-06-08 15:37:00+00:00,2013,42,True,False
Chestnut Fire,San Mateo,41,37.67,-122.43,2013-09-07 13:55:00+00:00,2013,41,True,False
Grant Fire,Santa Clara,43,37.34,-121.72,2013-12-31 05:30:00+00:00,2013,40,True,False
Baker Fire,Orange,30,33.77,-117.66,2013-10-06 10:52:00+00:00,2013,40,True,False
Valley Fire,San Diego,37,32.72,-117.16,2013-09-26 17:29:00+00:00,2013,40,True,False
Pierce Fire,Riverside,33,33.57,-116.11,2013-08-16 13:31:00+00:00,2013,40,True,False
Trout Fire,Siskiyou,47,41.77,-122.58,2013-07-31 15:25:00+00:00,2013,40,True,False
Heacock Fire,Riverside,33,33.96,-117.25,2013-07-19 16:21:00+00:00,2013,40,True,False
Palmyrita Fire,Riverside,33,34.0,-117.3,2013-06-14 13:47:00+00:00,2013,40,True,False
54 Fire,Riverside,33,33.66,-116.16,2013-05-16 13:48:00+00:00,2013,40,True,True
Empire Fire,El Dorado,9,38.9,-120.85,2013-08-24 14:54:00+00:00,2013,38,True,False
Indian Fire,Lake,17,39.16,-122.59,2013-08-07 12:35:00+00:00,2013,38,True,False
Fallon Fire,Alameda,1,37.74,-121.86,2013-07-06 13:09:00+00:00,2013,38,True,False
Michelle Fire,Fresno,10,36.76,-119.56,2013-06-13 15:54:00+00:00,2013,35,True,False
Cottontail Fire,San Luis Obispo,40,35.5,-120.91,2013-05-20 15:45:00+00:00,2013,35,True,False
Honey Fire,Shasta,45,40.79,-121.85,2013-08-04 18:00:00+00:00,2013,34,True,False
Dersch Fire,Shasta,45,40.48,-122.14,2013-11-07 16:10:00+00:00,2013,33,True,False
Chuckwagon Fire,Calaveras,5,37.97,-120.7,2013-07-22 12:34:00+00:00,2013,31,True,False
Lakeshore Fire,Lake,17,38.98,-122.68,2013-09-15 19:45:00+00:00,2013,30,True,True
Lake Fire,Lake,17,38.99,-122.7,2013-06-05 16:05:00+00:00,2013,30,True,False
Fawnskin Fire,San Bernardino,36,34.29,-116.94,2013-04-20 17:30:00+00:00,2013,30,False,False
Sonoma-Lake-Napa Unit Lightning Fires,Sonoma,49,38.42,-122.04,2013-06-10 00:46:00+00:00,2013,28,True,True
Sonoma-Lake-Napa Unit Lightning Fires,Solano,48,38.42,-122.04,2013-06-10 00:46:00+00:00,2013,28,True,True
Sonoma-Lake-Napa Unit Lightning Fires,Lake,17,38.42,-122.04,2013-06-10 00:46:00+00:00,2013,28,True,True
Sonoma-Lake-Napa Unit Lightning Fires,Colusa,6,38.42,-122.04,2013-06-10 00:46:00+00:00,2013,28,True,True
Cloverdale Fire,Shasta,45,40.47,-122.48,2013-08-14 15:37:00+00:00,2013,27,True,False
Flume Fire,San Diego,37,32.61,-116.71,2013-07-28 09:43:00+00:00,2013,25,True,False
Mount Fire,Lake,17,38.98,-122.82,2013-06-20 14:29:00+00:00,2013,25,True,False
Cherry Fire,Riverside,33,33.96,-116.91,2013-05-20 13:47:00+00:00,2013,25,True,False
Dam Fire,Lake,17,38.93,-122.58,2013-11-23 14:17:00+00:00,2013,23,True,False
Refuse Fire,Mendocino,23,39.55,-123.44,2013-12-30 11:00:00+00:00,2013,15,True,False
Gilman Fire,Riverside,33,33.95,-117.09,2013-07-19 17:31:00+00:00,2013,15,True,False
Ranger Fire,Madera,20,37.25,-119.7,2013-05-12 13:02:00+00:00,2013,15,True,False
Orleans Complex,Humboldt,12,41.33,-123.38,2013-08-03 08:00:00+00:00,2013,0,False,False
Hathaway Fire,Riverside,33,34.0,-116.84,2013-06-09 12:30:00+00:00,2013,0,False,False
King Fire,El Dorado,9,38.81,-120.63,2014-09-13 16:32:00+00:00,2014,97717,True,True
July Complex,Siskiyou,47,41.77,-122.58,2014-08-02 09:00:00+00:00,2014,50042,False,False
Bald Fire,Shasta,45,40.9,-121.37,2014-07-30 20:15:00+00:00,2014,39736,True,False
Oregon Gulch Fire (part of the Beaver Complex),Siskiyou,47,42.05,-122.34,2014-07-30 23:00:00+00:00,2014,35302,True,False
Beaver Fire,Siskiyou,47,41.59,-123.1,2014-07-30 00:00:00+00:00,2014,32496,False,False
Eiler Fire,Shasta,45,40.72,-121.56,2014-07-31 18:04:00+00:00,2014,32416,True,True
Pulgas Fire,San Diego,37,32.72,-117.16,2014-05-15 14:45:00+00:00,2014,14416,False,False
French Fire,Madera,20,37.25,-119.7,2014-07-28 05:45:00+00:00,2014,13838,False,False
Day Fire,Modoc,25,41.13,-121.21,2014-07-30 19:01:00+00:00,2014,13153,True,True
Bully Fire,Shasta,45,40.43,-122.75,2014-07-11 15:37:00+00:00,2014,12661,True,True
Lodge Lightning Complex,Mendocino,23,39.55,-123.44,2014-07-30 06:27:00+00:00,2014,12536,True,True
Monticello Fire,Yolo,57,38.51,-122.1,2014-07-04 21:32:00+00:00,2014,6488,True,True
Coffee Fire,Shasta,45,41.14,-122.81,2014-07-30 20:30:00+00:00,2014,6258,False,False
Little Deer Fire,Siskiyou,47,41.68,-122.13,2014-07-31 17:45:00+00:00,2014,5503,True,False
Tomahawk Fire,San Diego,37,33.35,-117.28,2014-05-14 09:45:00+00:00,2014,5367,False,True
Stoney Fire,Monterey,27,36.31,-121.35,2014-06-19 15:14:00+00:00,2014,4840,False,False
Meadow Fire,Mariposa,22,37.49,-119.97,2014-08-16 00:00:00+00:00,2014,4772,False,False
El Portal Fire,Mariposa,22,37.49,-119.97,2014-07-26 17:00:00+00:00,2014,4689,False,False
Butts Fire,Napa,28,38.66,-122.45,2014-07-01 12:08:00+00:00,2014,4300,True,True
Butts Fire,Lake,17,38.66,-122.45,2014-07-01 12:08:00+00:00,2014,4300,True,True
Sand Fire,Amador,3,38.57,-120.78,2014-07-25 16:34:00+00:00,2014,4240,True,True
Sand Fire,El Dorado,9,38.57,-120.78,2014-07-25 16:34:00+00:00,2014,4240,True,True
Way Fire,Kern,15,35.72,-118.47,2014-08-18 14:30:00+00:00,2014,4045,False,False
Shirley Fire,Kern,15,35.71,-118.56,2014-06-13 17:00:00+00:00,2014,3895,False,False
Etiwanda Fire,San Bernardino,36,34.17,-117.55,2014-04-30 08:00:00+00:00,2014,2143,True,True
Cocos Fire,San Diego,37,33.11,-117.16,2014-05-14 16:00:00+00:00,2014,1995,True,True
Colby Fire,Los Angeles,19,34.17,-117.88,2014-01-16 05:50:00+00:00,2014,1952,False,False
Nicolls Fire ,Kern,15,35.64,-118.15,2014-07-11 13:46:00+00:00,2014,1680,False,False
Modoc Lightning Complex,Modoc,25,41.89,-120.79,2014-07-01 19:00:00+00:00,2014,1651,False,False
Bernardo Fire,San Diego,37,33.0,-117.13,2014-05-13 11:00:00+00:00,2014,1548,True,True
Gulch Fire,Modoc,25,41.49,-120.9,2014-07-03 15:46:00+00:00,2014,1469,True,True
San Mateo Fire,San Diego,37,33.42,-117.55,2014-05-16 11:24:00+00:00,2014,1457,False,False
Gulch Fire,Shasta,45,40.71,-122.17,2014-09-10 00:30:00+00:00,2014,1375,True,True
Dark Hole Fire,Mariposa,22,37.49,-119.97,2014-07-17 01:00:00+00:00,2014,1080,False,False
Silverado Fire,Orange,30,33.75,-117.6,2014-09-12 10:30:00+00:00,2014,968,False,False
Campbell Fire,Tehama,52,40.13,-121.79,2014-01-02 20:00:00+00:00,2014,865,False,False
Hunters Fire,Mariposa,22,37.49,-119.97,2014-05-26 15:33:00+00:00,2014,677,True,True
Miguelito Fire,Santa Barbara,42,34.61,-120.45,2014-05-13 14:00:00+00:00,2014,632,True,True
Junction Fire,Madera,20,37.34,-119.66,2014-08-18 13:50:00+00:00,2014,612,True,True
Poinsettia Fire,San Diego,37,33.11,-117.28,2014-05-14 10:30:00+00:00,2014,600,False,False
Oregon Fire,Trinity,53,40.74,-122.95,2014-08-24 16:36:00+00:00,2014,580,True,True
Boles Fire,Siskiyou,47,41.42,-122.37,2014-09-15 13:38:00+00:00,2014,516,True,True
59 Fire,Tuolumne,55,37.77,-120.45,2014-06-04 11:45:00+00:00,2014,487,True,False
Applegate Fire,Placer,31,39.0,-121.0,2014-10-08 13:33:00+00:00,2014,459,True,True
Black Fire,Mendocino,23,39.55,-123.44,2014-09-13 15:48:00+00:00,2014,403,True,True
Encinal Fire,Monterey,27,36.63,-121.48,2014-03-19 16:45:00+00:00,2014,400,True,True
