,AcresBurned,ArchiveYear,CalFireIncident,Counties,CountyIds,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started
178,4772.0,2014,FALSE,Mariposa,22,0.0,0.0,FALSE,Meadow Fire,,2014-08-16T00:00:00Z
179,4689.0,2014,FALSE,Mariposa,22,0.0,0.0,FALSE,El Portal Fire,,2014-07-26T17:00:00Z
180,4300.0,2014,TRUE,Napa,28,38.664,-122.454,TRUE,Butts Fire,0.0,2014-07-01T12:08:00Z
181,4300.0,2014,TRUE,Lake,17,38.664,-122.454,TRUE,Butts Fire,0.0,2014-07-01T12:08:00Z
182,4240.0,2014,TRUE,Amador,3,38.5691,-120.7819,TRUE,Sand Fire,40.0,2014-07-25T16:34:00Z
183,4240.0,2014,TRUE,El Dorado,9,38.5691,-120.7819,TRUE,Sand Fire,40.0,2014-07-25T16:34:00Z
184,4045.0,2014,FALSE,Kern,15,35.7206,-118.4747,FALSE,Way Fire,,2014-08-18T14:30:00Z
185,3895.0,2014,FALSE,Kern,15,35.70683,-118.555527,FALSE,Shirley Fire,,2014-06-13T17:00:00Z
186,2143.0,2014,TRUE,San Bernardino,36,34.169346000000000,-117.547374,TRUE,Etiwanda Fire,583.0,2014-04-30T08:00:00Z
187,1995.0,2014,TRUE,San Diego,37,33.1137,-117.1599,TRUE,Cocos Fire,514.0,2014-05-14T16:00:00Z
188,1952.0,2014,FALSE,Los Angeles,19,34.1703,-117.8816,FALSE,Colby Fire,,2014-01-16T05:50:00Z
189,1680.0,2014,FALSE,Kern,15,35.642000000000000,-118.15,FALSE,Nicolls Fire ,,2014-07-11T13:46:00Z
190,1651.0,2014,FALSE,Modoc,25,41.89,-120.79,FALSE,Modoc Lightning Complex,,2014-07-01T19:00:00Z
191,1548.0,2014,TRUE,San Diego,37,33.003,-117.133,TRUE,Bernardo Fire,211.0,2014-05-13T11:00:00Z
192,1469.0,2014,TRUE,Modoc,25,41.489,-120.904,TRUE,Gulch Fire,427.0,2014-07-03T15:46:00Z
193,1457.0,2014,FALSE,San Diego,37,33.417572,-117.55056700000000,FALSE,San Mateo Fire,,2014-05-16T11:24:00Z
194,1375.0,2014,TRUE,Shasta,45,40.7101,-122.171,TRUE,Gulch Fire,169.0,2014-09-10T00:30:00Z
195,1080.0,2014,FALSE,Mariposa,22,0.0,0.0,FALSE,Dark Hole Fire,,2014-07-17T01:00:00Z
196,968.0,2014,FALSE,Orange,30,33.748000000000000,-117.601,FALSE,Silverado Fire,,2014-09-12T10:30:00Z
197,865.0,2014,FALSE,Tehama,52,40.134597,-121.79018300000000,FALSE,Campbell Fire,,2014-01-02T20:00:00Z
198,677.0,2014,TRUE,Mariposa,22,0.0,0.0,TRUE,Hunters Fire,32.0,2014-05-26T15:33:00Z
199,632.0,2014,TRUE,Santa Barbara,42,34.609,-120.454,TRUE,Miguelito Fire,548.0,2014-05-13T14:00:00Z
200,612.0,2014,TRUE,Madera,20,37.3433,-119.6581,TRUE,Junction Fire,188.0,2014-08-18T13:50:00Z
201,600.0,2014,FALSE,San Diego,37,33.1109,-117.279,FALSE,Poinsettia Fire,,2014-05-14T10:30:00Z
202,580.0,2014,TRUE,Trinity,53,40.7412,-122.946,TRUE,Oregon Fire,46.0,2014-08-24T16:36:00Z
203,516.0,2014,TRUE,Siskiyou,47,41.423840000000000,-122.37432,TRUE,Boles Fire,453.0,2014-09-15T13:38:00Z
204,487.0,2014,TRUE,Tuolumne,55,37.76617,-120.45087,FALSE,59 Fire,,2014-06-04T11:45:00Z
205,459.0,2014,TRUE,Placer,31,0.0,0.0,TRUE,Applegate Fire,,2014-10-08T13:33:00Z
206,403.0,2014,TRUE,Mendocino,23,0.0,0.0,TRUE,Black Fire,15.0,2014-09-13T15:48:00Z
207,400.0,2014,TRUE,Monterey,27,36.6313,-121.4819,TRUE,Encinal Fire,,2014-03-19T16:45:00Z
208,389.0,2014,TRUE,Butte,4,0.0,0.0,TRUE,Web Fire,835.0,2014-07-28T13:11:00Z
209,380.0,2014,TRUE,San Diego,37,33.312,-117.162,TRUE,Highway Fire,,2014-05-14T13:00:00Z
210,350.0,2014,TRUE,Riverside,33,0.0,0.0,FALSE,Pierce Fire,,2014-03-15T16:37:00Z
211,333.0,2014,TRUE,Humboldt,12,40.884415000000000,-123.773779,FALSE,Red Fire,,2014-01-04T12:00:00Z
212,320.0,2014,TRUE,Madera,20,37.311915,-119.604124,TRUE,Courtney Fire,90.0,2014-09-14T13:36:00Z
213,311.0,2014,FALSE,Mariposa,22,37.0,40.34,FALSE,Dog Rock Fire,,2014-10-07T15:05:00Z
214,300.0,2014,TRUE,Mariposa,22,0.0,0.0,TRUE,Bridge Fire,,2014-09-05T12:39:00Z
215,300.0,2014,TRUE,Merced,24,0.0,0.0,FALSE,Gun Club Fire,,2014-07-24T12:06:00Z
216,274.0,2014,FALSE,Los Angeles,19,34.267000000000000,-117.867,FALSE,Tecolote Fire,,2014-08-17T14:30:00Z
217,269.0,2014,TRUE,Tuolumne,55,37.787,-120.45200000000000,FALSE,Hetch Hetchy Fire,,2014-06-05T13:04:00Z
