Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,5/13/2013,133,0.32, ,0.00, ,688, ,10.1, ,97.4, ,60.3, ,78.9, ,59, ,15, ,30, ,44.7, ,6.6, ,158.9, ,70.3, 
2,FivePoints,San Joaquin Valley,5/14/2013,134,0.29, ,0.00, ,697, ,11.1, ,89.1, ,57.5, ,74.5, ,61, ,20, ,38, ,47.3, ,5.8, ,139.4, ,71.3, 
2,FivePoints,San Joaquin Valley,5/15/2013,135,0.31, ,0.00, ,702, ,8.7, ,88.5, ,53.9, ,71.8, ,63, ,16, ,33, ,40.9, ,7.3, ,176.3, ,71.9, 
2,FivePoints,San Joaquin Valley,5/16/2013,136,0.18, ,0.00, ,417, ,10.6, ,74.6, ,55.0, ,65.2, ,63, ,41, ,50, ,46.1, ,8.0, ,191.6, ,70.7, 
2,FivePoints,San Joaquin Valley,5/17/2013,137,0.28, ,0.00, ,708, ,8.9, ,79.0, ,51.5, ,66.0, ,72, ,21, ,41, ,41.6, ,8.8, ,210.6, ,69.7, 
2,FivePoints,San Joaquin Valley,5/18/2013,138,0.30, ,0.00, ,732, ,7.4, ,82.7, ,44.8, ,66.1, ,71, ,14, ,34, ,36.9, ,7.5, ,180.6, ,69.4, 
2,FivePoints,San Joaquin Valley,5/19/2013,139,0.34, ,0.00, ,725, ,8.2, ,84.3, ,55.0, ,70.3, ,64, ,18, ,33, ,39.5, ,9.8, ,235.5, ,69.1, 
2,FivePoints,San Joaquin Valley,5/20/2013,140,0.32, ,0.00, ,724, ,7.4, ,89.4, ,50.4, ,71.9, ,51, ,14, ,28, ,36.8, ,6.8, ,163.2, ,68.8, 
2,FivePoints,San Joaquin Valley,5/21/2013,141,0.35, ,0.00, ,704, ,7.5, ,88.2, ,54.2, ,71.4, ,50, ,16, ,28, ,37.1, ,9.6, ,230.8, ,69.1, 
2,FivePoints,San Joaquin Valley,5/22/2013,142,0.34, ,0.00, ,743, ,4.6,Y,71.6, ,47.5, ,60.2, ,48, ,14, ,26,Y,25.2,Y,12.9,Y,308.6,Y,67.9, 
2,FivePoints,San Joaquin Valley,5/23/2013,143,0.27, ,0.00, ,743, ,6.3, ,74.1, ,38.6,Y,58.5, ,68, ,21, ,37, ,32.6, ,6.4, ,153.5, ,66.5, 
2,FivePoints,San Joaquin Valley,5/24/2013,144,0.26, ,0.00, ,723, ,6.8, ,80.0, ,42.9, ,63.6, ,68, ,19, ,34, ,34.8, ,4.3, ,103.4, ,66.6, 
2,FivePoints,San Joaquin Valley,5/25/2013,145,0.27, ,0.00, ,736, ,7.6, ,81.7, ,43.7, ,64.5, ,64, ,22, ,37, ,37.5, ,5.8, ,140.0, ,66.8, 
2,FivePoints,San Joaquin Valley,5/26/2013,146,0.31, ,0.00, ,727, ,9.9, ,80.6, ,53.3, ,67.1, ,64, ,30, ,44, ,44.2, ,10.4, ,250.0, ,67.3, 
2,FivePoints,San Joaquin Valley,5/27/2013,147,0.26, ,0.00, ,574, ,10.5, ,76.7, ,53.2, ,65.4, ,70, ,30, ,49, ,45.8, ,10.8, ,259.3, ,67.3, 
2,FivePoints,San Joaquin Valley,5/28/2013,148,0.30, ,0.00, ,695, ,12.7, ,81.2, ,55.3, ,68.2, ,79, ,33, ,54, ,50.9, ,9.7, ,232.6, ,67.5, 
2,FivePoints,San Joaquin Valley,5/29/2013,149,0.32, ,0.00, ,713, ,10.6, ,83.1, ,53.9, ,69.5, ,69, ,27, ,43, ,46.0, ,9.5, ,228.6, ,67.9, 
2,FivePoints,San Joaquin Valley,5/30/2013,150,0.32, ,0.00, ,743, ,8.3, ,86.0, ,49.8, ,69.8, ,61, ,17, ,33, ,39.7, ,7.6, ,182.4, ,67.9, 
2,FivePoints,San Joaquin Valley,5/31/2013,151,0.34, ,0.00, ,751, ,7.6, ,89.0, ,51.5, ,72.0, ,44, ,14, ,28, ,37.5, ,7.8, ,188.2, ,67.9, 
